date,原油,LPG,沥青,燃油,PP,PE,PTA,甲醇,PX,EG,EB,纯苯
2005-01-04,,,,1983.0,,,,,,,,
2005-01-05,,,,2007.0,,,,,,,,
2005-01-06,,,,1989.0,,,,,,,,
2005-01-07,,,,2002.0,,,,,,,,
2005-01-10,,,,2014.0,,,,,,,,
2005-01-11,,,,2004.0,,,,,,,,
2005-01-12,,,,2017.0,,,,,,,,
2005-01-13,,,,2023.0,,,,,,,,
2005-01-14,,,,2027.0,,,,,,,,
2005-01-17,,,,2015.0,,,,,,,,
2005-01-18,,,,2042.0,,,,,,,,
2005-01-19,,,,2052.0,,,,,,,,
2005-01-20,,,,2030.0,,,,,,,,
2005-01-21,,,,2034.0,,,,,,,,
2005-01-24,,,,2025.0,,,,,,,,
2005-01-25,,,,2055.0,,,,,,,,
2005-01-26,,,,2054.0,,,,,,,,
2005-01-27,,,,2050.0,,,,,,,,
2005-01-28,,,,2045.0,,,,,,,,
2005-01-31,,,,2017.0,,,,,,,,
2005-02-01,,,,2038.0,,,,,,,,
2005-02-02,,,,2042.0,,,,,,,,
2005-02-03,,,,2038.0,,,,,,,,
2005-02-04,,,,2054.0,,,,,,,,
2005-02-16,,,,2065.0,,,,,,,,
2005-02-17,,,,2094.0,,,,,,,,
2005-02-18,,,,2081.0,,,,,,,,
2005-02-21,,,,2088.0,,,,,,,,
2005-02-22,,,,2106.0,,,,,,,,
2005-02-23,,,,2165.0,,,,,,,,
2005-02-24,,,,2153.0,,,,,,,,
2005-02-25,,,,2161.0,,,,,,,,
2005-02-28,,,,2179.0,,,,,,,,
2005-03-01,,,,2158.0,,,,,,,,
2005-03-02,,,,2167.0,,,,,,,,
2005-03-03,,,,2226.0,,,,,,,,
2005-03-04,,,,2244.0,,,,,,,,
2005-03-07,,,,2244.0,,,,,,,,
2005-03-08,,,,2243.0,,,,,,,,
2005-03-09,,,,2310.0,,,,,,,,
2005-03-10,,,,2310.0,,,,,,,,
2005-03-11,,,,2280.0,,,,,,,,
2005-03-14,,,,2344.0,,,,,,,,
2005-03-15,,,,2408.0,,,,,,,,
2005-03-16,,,,2403.0,,,,,,,,
2005-03-17,,,,2482.0,,,,,,,,
2005-03-18,,,,2429.0,,,,,,,,
2005-03-21,,,,2462.0,,,,,,,,
2005-03-22,,,,2473.0,,,,,,,,
2005-03-23,,,,2352.0,,,,,,,,
2005-03-24,,,,2367.0,,,,,,,,
2005-03-25,,,,2383.0,,,,,,,,
2005-03-28,,,,2386.0,,,,,,,,
2005-03-29,,,,2365.0,,,,,,,,
2005-03-30,,,,2388.0,,,,,,,,
2005-03-31,,,,2449.0,,,,,,,,
2005-04-01,,,,2487.0,,,,,,,,
2005-04-04,,,,2582.0,,,,,,,,
2005-04-05,,,,2564.0,,,,,,,,
2005-04-06,,,,2614.0,,,,,,,,
2005-04-07,,,,2668.0,,,,,,,,
2005-04-08,,,,2606.0,,,,,,,,
2005-04-11,,,,2633.0,,,,,,,,
2005-04-12,,,,2644.0,,,,,,,,
2005-04-13,,,,2509.0,,,,,,,,
2005-04-14,,,,2525.0,,,,,,,,
2005-04-15,,,,2534.0,,,,,,,,
2005-04-18,,,,2507.0,,,,,,,,
2005-04-19,,,,2528.0,,,,,,,,
2005-04-20,,,,2615.0,,,,,,,,
2005-04-21,,,,2569.0,,,,,,,,
2005-04-22,,,,2615.0,,,,,,,,
2005-04-25,,,,2669.0,,,,,,,,
2005-04-26,,,,2631.0,,,,,,,,
2005-04-27,,,,2630.0,,,,,,,,
2005-04-28,,,,2567.0,,,,,,,,
2005-04-29,,,,2589.0,,,,,,,,
2005-05-09,,,,2599.0,,,,,,,,
2005-05-10,,,,2610.0,,,,,,,,
2005-05-11,,,,2563.0,,,,,,,,
2005-05-12,,,,2517.0,,,,,,,,
2005-05-13,,,,2457.0,,,,,,,,
2005-05-16,,,,2477.0,,,,,,,,
2005-05-17,,,,2484.0,,,,,,,,
2005-05-18,,,,2536.0,,,,,,,,
2005-05-19,,,,2473.0,,,,,,,,
2005-05-20,,,,2529.0,,,,,,,,
2005-05-23,,,,2492.0,,,,,,,,
2005-05-24,,,,2517.0,,,,,,,,
2005-05-25,,,,2509.0,,,,,,,,
2005-05-26,,,,2570.0,,,,,,,,
2005-05-27,,,,2558.0,,,,,,,,
2005-05-30,,,,2582.0,,,,,,,,
2005-05-31,,,,2555.0,,,,,,,,
2005-06-01,,,,2590.0,,,,,,,,
2005-06-02,,,,2669.0,,,,,,,,
2005-06-03,,,,2693.0,,,,,,,,
2005-06-06,,,,2807.0,,,,,,,,
2005-06-07,,,,2776.0,,,,,,,,
2005-06-08,,,,2710.0,,,,,,,,
2005-06-09,,,,2672.0,,,,,,,,
2005-06-10,,,,2737.0,,,,,,,,
2005-06-13,,,,2703.0,,,,,,,,
2005-06-14,,,,2727.0,,,,,,,,
2005-06-15,,,,2762.0,,,,,,,,
2005-06-16,,,,2740.0,,,,,,,,
2005-06-17,,,,2751.0,,,,,,,,
2005-06-20,,,,2829.0,,,,,,,,
2005-06-21,,,,2771.0,,,,,,,,
2005-06-22,,,,2782.0,,,,,,,,
2005-06-23,,,,2765.0,,,,,,,,
2005-06-24,,,,2826.0,,,,,,,,
2005-06-27,,,,2829.0,,,,,,,,
2005-06-28,,,,2798.0,,,,,,,,
2005-06-29,,,,2775.0,,,,,,,,
2005-06-30,,,,2773.0,,,,,,,,
2005-07-01,,,,2794.0,,,,,,,,
2005-07-04,,,,2819.0,,,,,,,,
2005-07-05,,,,2847.0,,,,,,,,
2005-07-06,,,,2890.0,,,,,,,,
2005-07-07,,,,2917.0,,,,,,,,
2005-07-08,,,,2932.0,,,,,,,,
2005-07-11,,,,2868.0,,,,,,,,
2005-07-12,,,,2884.0,,,,,,,,
2005-07-13,,,,2939.0,,,,,,,,
2005-07-14,,,,2906.0,,,,,,,,
2005-07-15,,,,2876.0,,,,,,,,
2005-07-18,,,,2910.0,,,,,,,,
2005-07-19,,,,2838.0,,,,,,,,
2005-07-20,,,,2818.0,,,,,,,,
2005-07-21,,,,2807.0,,,,,,,,
2005-07-22,,,,2798.0,,,,,,,,
2005-07-25,,,,2863.0,,,,,,,,
2005-07-26,,,,2847.0,,,,,,,,
2005-07-27,,,,2842.0,,,,,,,,
2005-07-28,,,,2851.0,,,,,,,,
2005-07-29,,,,2859.0,,,,,,,,
2005-08-01,,,,2790.0,,,,,,,,
2005-08-02,,,,2866.0,,,,,,,,
2005-08-03,,,,2897.0,,,,,,,,
2005-08-04,,,,2830.0,,,,,,,,
2005-08-05,,,,2859.0,,,,,,,,
2005-08-08,,,,2911.0,,,,,,,,
2005-08-09,,,,2939.0,,,,,,,,
2005-08-10,,,,2915.0,,,,,,,,
2005-08-11,,,,2973.0,,,,,,,,
2005-08-12,,,,2969.0,,,,,,,,
2005-08-15,,,,2972.0,,,,,,,,
2005-08-16,,,,2967.0,,,,,,,,
2005-08-17,,,,2980.0,,,,,,,,
2005-08-18,,,,2942.0,,,,,,,,
2005-08-19,,,,2953.0,,,,,,,,
2005-08-22,,,,2987.0,,,,,,,,
2005-08-23,,,,3004.0,,,,,,,,
2005-08-24,,,,3004.0,,,,,,,,
2005-08-25,,,,3017.0,,,,,,,,
2005-08-26,,,,3000.0,,,,,,,,
2005-08-29,,,,3036.0,,,,,,,,
2005-08-30,,,,3043.0,,,,,,,,
2005-08-31,,,,3089.0,,,,,,,,
2005-09-01,,,,3081.0,,,,,,,,
2005-09-02,,,,3140.0,,,,,,,,
2005-09-05,,,,3153.0,,,,,,,,
2005-09-06,,,,3126.0,,,,,,,,
2005-09-07,,,,3130.0,,,,,,,,
2005-09-08,,,,3145.0,,,,,,,,
2005-09-09,,,,3166.0,,,,,,,,
2005-09-12,,,,3140.0,,,,,,,,
2005-09-13,,,,3092.0,,,,,,,,
2005-09-14,,,,3125.0,,,,,,,,
2005-09-15,,,,3161.0,,,,,,,,
2005-09-16,,,,3137.0,,,,,,,,
2005-09-19,,,,3134.0,,,,,,,,
2005-09-20,,,,3175.0,,,,,,,,
2005-09-21,,,,3213.0,,,,,,,,
2005-09-22,,,,3240.0,,,,,,,,
2005-09-23,,,,3227.0,,,,,,,,
2005-09-26,,,,3183.0,,,,,,,,
2005-09-27,,,,3224.0,,,,,,,,
2005-09-28,,,,3213.0,,,,,,,,
2005-09-29,,,,3245.0,,,,,,,,
2005-09-30,,,,3250.0,,,,,,,,
2005-10-10,,,,3227.0,,,,,,,,
2005-10-11,,,,3213.0,,,,,,,,
2005-10-12,,,,3223.0,,,,,,,,
2005-10-13,,,,3288.0,,,,,,,,
2005-10-14,,,,3257.0,,,,,,,,
2005-10-17,,,,3277.0,,,,,,,,
2005-10-18,,,,3248.0,,,,,,,,
2005-10-19,,,,3160.0,,,,,,,,
2005-10-20,,,,3166.0,,,,,,,,
2005-10-21,,,,3061.0,,,,,,,,
2005-10-24,,,,3100.0,,,,,,,,
2005-10-25,,,,3124.0,,,,,,,,
2005-10-26,,,,3165.0,,,,,,,,
2005-10-27,,,,3163.0,,,,,,,,
2005-10-28,,,,3183.0,,,,,,,,
2005-10-31,,,,3144.0,,,,,,,,
2005-11-01,,,,3101.0,,,,,,,,
2005-11-02,,,,3122.0,,,,,,,,
2005-11-03,,,,3128.0,,,,,,,,
2005-11-04,,,,3159.0,,,,,,,,
2005-11-07,,,,3137.0,,,,,,,,
2005-11-08,,,,3133.0,,,,,,,,
2005-11-09,,,,3139.0,,,,,,,,
2005-11-10,,,,3076.0,,,,,,,,
2005-11-11,,,,3040.0,,,,,,,,
2005-11-14,,,,3088.0,,,,,,,,
2005-11-15,,,,3046.0,,,,,,,,
2005-11-16,,,,3017.0,,,,,,,,
2005-11-17,,,,3029.0,,,,,,,,
2005-11-18,,,,3000.0,,,,,,,,
2005-11-21,,,,3027.0,,,,,,,,
2005-11-22,,,,3034.0,,,,,,,,
2005-11-23,,,,3045.0,,,,,,,,
2005-11-24,,,,3048.0,,,,,,,,
2005-11-25,,,,3008.0,,,,,,,,
2005-11-28,,,,2974.0,,,,,,,,
2005-11-29,,,,2948.0,,,,,,,,
2005-11-30,,,,2925.0,,,,,,,,
2005-12-01,,,,2940.0,,,,,,,,
2005-12-02,,,,2987.0,,,,,,,,
2005-12-05,,,,3034.0,,,,,,,,
2005-12-06,,,,3048.0,,,,,,,,
2005-12-07,,,,3085.0,,,,,,,,
2005-12-08,,,,3055.0,,,,,,,,
2005-12-09,,,,3176.0,,,,,,,,
2005-12-12,,,,3179.0,,,,,,,,
2005-12-13,,,,3154.0,,,,,,,,
2005-12-14,,,,3130.0,,,,,,,,
2005-12-15,,,,3079.0,,,,,,,,
2005-12-16,,,,3076.0,,,,,,,,
2005-12-19,,,,3008.0,,,,,,,,
2005-12-20,,,,3041.0,,,,,,,,
2005-12-21,,,,3015.0,,,,,,,,
2005-12-22,,,,3011.0,,,,,,,,
2005-12-23,,,,3009.0,,,,,,,,
2005-12-26,,,,3026.0,,,,,,,,
2005-12-27,,,,3018.0,,,,,,,,
2005-12-28,,,,3030.0,,,,,,,,
2005-12-29,,,,3080.0,,,,,,,,
2005-12-30,,,,3062.0,,,,,,,,
2006-01-02,,,,3062.0,,,,,,,,
2006-01-03,,,,3062.0,,,,,,,,
2006-01-04,,,,3134.0,,,,,,,,
2006-01-05,,,,3115.0,,,,,,,,
2006-01-06,,,,3120.0,,,,,,,,
2006-01-09,,,,3132.0,,,,,,,,
2006-01-10,,,,3094.0,,,,,,,,
2006-01-11,,,,3118.0,,,,,,,,
2006-01-12,,,,3167.0,,,,,,,,
2006-01-13,,,,3141.0,,,,,,,,
2006-01-16,,,,3213.0,,,,,,,,
2006-01-17,,,,3255.0,,,,,,,,
2006-01-18,,,,3265.0,,,,,,,,
2006-01-19,,,,3272.0,,,,,,,,
2006-01-20,,,,3352.0,,,,,,,,
2006-01-23,,,,3411.0,,,,,,,,
2006-01-24,,,,3439.0,,,,,,,,
2006-01-25,,,,3359.0,,,,,,,,
2006-01-26,,,,3382.0,,,,,,,,
2006-01-27,,,,3448.0,,,,,,,,
2006-02-06,,,,3592.0,,,,,,,,
2006-02-07,,,,3517.0,,,,,,,,
2006-02-08,,,,3399.0,,,,,,,,
2006-02-09,,,,3473.0,,,,,,,,
2006-02-10,,,,3440.0,,,,,,,,
2006-02-13,,,,3414.0,,,,,,,,
2006-02-14,,,,3435.0,,,,,,,,
2006-02-15,,,,3409.0,,,,,,,,
2006-02-16,,,,3341.0,,,,,,,,
2006-02-17,,,,3381.0,,,,,,,,
2006-02-20,,,,3418.0,,,,,,,,
2006-02-21,,,,3426.0,,,,,,,,
2006-02-22,,,,3382.0,,,,,,,,
2006-02-23,,,,3310.0,,,,,,,,
2006-02-24,,,,3395.0,,,,,,,,
2006-02-27,,,,3368.0,,,,,,,,
2006-02-28,,,,3358.0,,,,,,,,
2006-03-01,,,,3354.0,,,,,,,,
2006-03-02,,,,3431.0,,,,,,,,
2006-03-03,,,,3488.0,,,,,,,,
2006-03-06,,,,3482.0,,,,,,,,
2006-03-07,,,,3443.0,,,,,,,,
2006-03-08,,,,3403.0,,,,,,,,
2006-03-09,,,,3404.0,,,,,,,,
2006-03-10,,,,3385.0,,,,,,,,
2006-03-13,,,,3416.0,,,,,,,,
2006-03-14,,,,3423.0,,,,,,,,
2006-03-15,,,,3454.0,,,,,,,,
2006-03-16,,,,3434.0,,,,,,,,
2006-03-17,,,,3471.0,,,,,,,,
2006-03-20,,,,3517.0,,,,,,,,
2006-03-21,,,,3427.0,,,,,,,,
2006-03-22,,,,3443.0,,,,,,,,
2006-03-23,,,,3477.0,,,,,,,,
2006-03-24,,,,3495.0,,,,,,,,
2006-03-27,,,,3497.0,,,,,,,,
2006-03-28,,,,3487.0,,,,,,,,
2006-03-29,,,,3516.0,,,,,,,,
2006-03-30,,,,3518.0,,,,,,,,
2006-03-31,,,,3518.0,,,,,,,,
2006-04-03,,,,3520.0,,,,,,,,
2006-04-04,,,,3573.0,,,,,,,,
2006-04-05,,,,3522.0,,,,,,,,
2006-04-06,,,,3572.0,,,,,,,,
2006-04-07,,,,3557.0,,,,,,,,
2006-04-10,,,,3596.0,,,,,,,,
2006-04-11,,,,3691.0,,,,,,,,
2006-04-12,,,,3687.0,,,,,,,,
2006-04-13,,,,3666.0,,,,,,,,
2006-04-14,,,,3733.0,,,,,,,,
2006-04-19,,,,3707.0,,,,,,,,
2006-04-20,,,,3746.0,,,,,,,,
2006-04-21,,,,3684.0,,,,,,,,
2006-04-24,,,,3770.0,,,,,,,,
2006-04-25,,,,3709.0,,,,,,,,
2006-04-26,,,,3706.0,,,,,,,,
2006-04-27,,,,3663.0,,,,,,,,
2006-04-28,,,,3638.0,,,,,,,,
2006-05-08,,,,3740.0,,,,,,,,
2006-05-09,,,,3723.0,,,,,,,,
2006-05-10,,,,3745.0,,,,,,,,
2006-05-11,,,,3871.0,,,,,,,,
2006-05-12,,,,3801.0,,,,,,,,
2006-05-15,,,,3756.0,,,,,,,,
2006-05-16,,,,3610.0,,,,,,,,
2006-05-17,,,,3633.0,,,,,,,,
2006-05-18,,,,3569.0,,,,,,,,
2006-05-19,,,,3612.0,,,,,,,,
2006-05-22,,,,3541.0,,,,,,,,
2006-05-23,,,,3650.0,,,,,,,,
2006-05-24,,,,3701.0,,,,,,,,
2006-05-25,,,,3670.0,,,,,,,,
