,当前值,均值(1年),标准差(1年),Z-Score,历史最低,历史最高,百分位,预警
沥青-原油,54.0,-271.85,316.48,1.03,-1603.0,157.0,96.03,✅ 正常
燃油-原油,-500.0,-707.33,141.58,1.46,-1109.0,-243.0,94.84,✅ 正常
原油-LPG,-1482.0,-808.18,305.99,-2.2,-1482.0,41.0,0.4,🔴 偏离
PP-LPG,1819.0,1666.13,342.31,0.45,910.8,2561.2,69.84,✅ 正常
PP-原油,4496.0,3405.64,344.62,3.16,2377.0,4661.0,99.6,🔴 偏离
PE-原油,3653.0,3472.42,228.41,0.79,2287.0,4185.0,84.52,✅ 正常
PP-PE,843.0,-66.78,327.36,2.78,-445.0,893.0,98.81,🔴 偏离
PX-原油,4509.0,3639.46,550.52,1.58,2852.0,4924.0,94.44,⚠️ 关注
PTA-PX,569.69,338.53,81.42,2.84,106.79,569.69,100.0,🔴 偏离
EB-BZ,2692.2,2535.78,421.78,0.37,1947.8,3706.0,67.57,✅ 正常
EB-原油,4380.0,3863.4,624.81,0.83,2850.0,5480.0,77.78,✅ 正常
BZ-原油,3233.0,2662.22,506.23,1.13,1973.0,4143.0,83.33,✅ 正常
PTA-EG,1818.0,952.41,558.12,1.55,283.0,2345.0,97.22,⚠️ 关注
EG-原油,155.0,442.25,389.63,-0.74,-1060.0,1066.0,20.83,✅ 正常
PP-3MA,-158.0,-123.14,215.87,-0.16,-1085.0,395.0,41.67,✅ 正常
MA-原油,-1444.0,-1389.38,406.89,-0.13,-2827.0,-784.0,29.37,✅ 正常
